1,ST01,300,300,360,5400,1000000,150,10500,11,0.89,10,0.5,100,1.0,0.0
2,ST02,300,300,360,5400,1000000,150,10500,11,0.89,10,0.8,50,1.0,0.0
3,ST03,300,300,360,5400,1000000,150,10500,11,0.89,10,0.0,100,1.0,0.0
4,ST04,300,300,360,5400,1000000,50,10500,11,0.89,10,0.5,100,1.0,0.0
5,ST05,300,300,360,5400,1000000,250,10500,11,0.89,10,0.5,100,1.0,0.0
6,ST05,300,300,2100,5400,1000000,150,10500,11,0.89,10,0.5,100,1.0,0.0
7,ST05,300,300,3900,5400,1000000,150,10500,11,0.89,10,0.5,100,1.0,0.0
8,ST08,300,600,10080,14400,7200,500,12500,11,0.82,12,0.5,90,0.3,42
9,ST09,300,400,10080,14400,360,25,15500,13,0.79,8,0.5,70,7.0,60
10,ST10,300,450,10080,14400,720,50,15500,13,0.79,8,0.5,70,7.0,60
11,ST11,300,500,10080,14400,1440,100,15500,13,0.79,12,0.5,70,7.0,60
12,ST12,300,600,10080,14400,7200,500,15500,13,0.79,12,0.5,70,7.0,60
13,ST13,300,375,3975,8295,120,21,10500,9,0.9,4,0.5,100,0.0,20
